track_id,track_name,artist,played_at
0qiMB9VYpBOhTcvi47h4nX,Midsummer Madness,88rising,2025-05-03T23:41:11.315Z
2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,2025-05-03T23:36:30.013Z
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,2025-05-03T23:32:10.817Z
2VWU98gL9ePoBWzjttq3iC,So Sick Of Dreaming,Maggie Rogers,2025-05-03T23:29:20.314Z
7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde",Charli xcx,2025-05-03T23:25:27.774Z
2jNyiavSywmA472t2m6ZBz,What Was That,Lorde,2025-05-03T23:16:31.594Z
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,2025-05-03T23:12:54.653Z
4VZM7lUyMpZOYs218ZmRii,Nite Mode,CHYL,2025-05-03T23:07:43.842Z
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,2025-05-03T23:04:42.150Z
5xeSd4HgzrYpNLEf3LfYLK,WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,2025-05-03T23:02:06.955Z
2xaaJcmvMOmpDbTwlWnjFh,Alter Ego (with JT),Doechii,2025-05-03T22:59:37.016Z
4Eto4M2UlZc9ssdhlxXH3H,Mesmerizing Waves,Yu-Peng Chen,2025-05-03T22:47:29.757Z
6AvHppPsa23PRhQjVS79rY,As the Feather Falls,HOYO-MiX,2025-05-03T22:44:50.960Z
5vAQTfCyFtElVttsxrTgiy,Hymn of the Pearl,Yu-Peng Chen,2025-05-03T22:43:37.841Z
4jsV7VJmQcPtlM9siZBQkX,Brocade Dreams,HOYO-MiX,2025-05-03T22:42:46.843Z
30hBeqhV22W5L45uecsc0r,Suffering of Parting,HOYO-MiX,2025-05-03T22:40:47.153Z
0YL6UFSidKbzCvsTPkanFS,Chattering Snowflakes,Yu-Peng Chen,2025-05-03T22:39:21.143Z
4xo5aDf4JUkSBRUjhpyO0e,Until the Morning After,HOYO-MiX,2025-05-03T22:37:34.694Z
0h7jrdRdNBclcJruULyNwC,Adeptus' Solace,Yu-Peng Chen,2025-05-03T22:36:08.948Z
2PvieN4Zj3xxkRNoK2YjxQ,Coral Coronation,HOYO-MiX,2025-05-03T22:34:20.439Z
5HT3i1xRoD4FFyRuUv62bH,Stories Untold,HOYO-MiX,2025-05-03T22:33:10.547Z
4TnWz1TBsq7RdabtzvHbb5,Wangshu Inn (Mellow),Chewie Melodies,2025-05-03T22:30:48.564Z
4T4IstrdJSMM5Y36n9e893,"With the Wind, Flowing Epoch",HOYO-MiX,2025-05-03T22:29:09.540Z
66pfCKAbQWA593c5HR9W3t,Unfinished Ideal,HOYO-MiX,2025-05-03T22:27:35.093Z
4Iq7C61MCBPIUlfmYEaPrE,Dream of Scattered Petals,Yu-Peng Chen,2025-05-03T22:25:57.589Z
5PkWhNfVEz2O9n8b6cQFMw,Rock Ur World,Knock2,2025-05-03T22:15:49.854Z
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi (feat. Yuki Chiba),Megan Thee Stallion,2025-05-03T22:11:08.230Z
1nF1SpkNfgPPozcXh2hvGU,LET HER COOK,GloRilla,2025-05-03T22:08:30.728Z
5D5UVZe2jPOiYrmPjjBhNa,Tangerine Rays (feat. Bea Miller),Zedd,2025-05-03T22:05:55.238Z
52w9GCt9IeQU8R7WhHrmXi,64 Impala,Henry Fong,2025-05-03T21:50:27.330Z
7C46d7mrdoSsgd3rNOa4A7,feel U luv Me,Knock2,2025-05-03T21:48:15.705Z
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,2025-05-03T21:44:21.011Z
7ovUcF5uHTBRzUpB6ZOmvt,アイドル,YOASOBI,2025-05-03T21:39:49.100Z
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",2025-05-03T21:36:15.295Z
7C46d7mrdoSsgd3rNOa4A7,feel U luv Me,Knock2,2025-05-03T21:31:58.896Z
2zlDtXQorGWTSTyxuZvOxM,dance or dead,Knock2,2025-05-03T21:28:04.308Z
3Srw8isgDzmYsgwDi4MtbD,月亮代表我的心,Teresa Teng,2025-05-03T21:24:31.103Z
0ZnxFHRtsl4MgBKuhXoqqe,小苹果,筷子兄弟,2025-05-03T21:21:04.391Z
3Gl0Y21R2b5fPPxge18pTu,朋友,Wakin Chau,2025-05-03T21:17:30.417Z
2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,2025-05-03T21:08:04.808Z
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,2025-05-03T21:03:45.312Z
0qiMB9VYpBOhTcvi47h4nX,Midsummer Madness,88rising,2025-05-03T21:00:55.113Z
2VWU98gL9ePoBWzjttq3iC,So Sick Of Dreaming,Maggie Rogers,2025-05-03T20:56:13.830Z
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,2025-05-03T20:52:21.233Z
7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde",Charli xcx,2025-05-03T20:47:24.205Z
1prZ0pr6XoRCxcrC3MCL0M,Everywhere,Fleetwood Mac,2025-05-03T20:42:54.419Z
